<http://data.doremus.org/performance/1722099d-8cda-3b1e-8d49-37c841edc3e9>;1014845.ttl;Johann Sebastian Bach. Les TempÃ©raments;12/03/2014;
;;;;
<http://data.doremus.org/performance/daa796d9-b9f1-36cc-8fd3-891609e36e60>;15435.ttl;AngÃ©lique Kidjo & Philip Glass;03/10/2015;SimilaritÃ© :0.587
<http://data.doremus.org/performance/853c7da1-1050-34f8-8f12-f5a1b4173b1a>;1041702.ttl;Week-end Dialogues des cultures. AngÃ©lique Kidjo et Philip Glass;03/10/2015;
;;;;
<http://data.doremus.org/performance/d5eacde6-7d0f-3283-becb-21a64dada4f1>;15528.ttl;Quatuor Arditti;20/01/2016;SimilaritÃ© :0.4205
<http://data.doremus.org/performance/600823eb-b42e-353d-a9a7-6b25f56c9b23>;1045740.ttl;Biennale de quatuors Ã  cordes. Quatuor Borodine. Concert des 70 ans;20/01/2016;
;;;;
<http://data.doremus.org/performance/c2d88afd-c103-3d06-afcf-23d402e78eb4>;15510.ttl;Alice au Pays des merveilles;28/05/2016;SimilaritÃ© :0.43499999999999994
<http://data.doremus.org/performance/10086d2c-bc39-39aa-a7f0-8ca19832c88a>;1054710.ttl;Week-end Fantastique. Alice aux pays des merveilles. Orchestre national d+ÃŽle-de-France;28/05/2016;
;;;;
<http://data.doremus.org/performance/5d04ed87-4c89-30d1-a941-1e0afd364012>;15538.ttl;Quatuor Modigliani;24/01/2016;SimilaritÃ© :0.521
<http://data.doremus.org/performance/f2d5153c-ef96-3b92-9a69-5ea8fbd950a8>;1046555.ttl;Biennale de quatuors Ã  cordes. Quatuor Modigliani;24/01/2016;
;;;;
<http://data.doremus.org/performance/2847226e-5a1a-32db-8631-60ff8ae2728d>;14108.ttl;Insula Orchestra - Laurence Equilbey;23/03/2015;SimilaritÃ© :0.6579999999999999
<http://data.doremus.org/performance/4d3ab070-cdbc-3cb2-b600-031d7ddd3427>;1031330.ttl;Insula Orchestra, symphonies d'un monde nouveau;23/03/2015;
;;;;
<http://data.doremus.org/performance/c9cc1dd9-7ba1-3fea-947a-e62645e47bed>;15529.ttl;Quatuor Borodine;20/01/2016;SimilaritÃ© :0.4495
